source	target	similarity	repet	variance
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_125906.1|long_non-coding_RNA|LOC101928809|Nosynon	86.460	2	3.168
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_135200.1|long_non-coding_RNA|LINC01460|Nosynon	88.320	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038885.1|non-coding_RNA|LOC100506385|Nosynon	87.210	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038391.1|long_non-coding_RNA|ANAPC16|Nosynon	86.470	2	5.336
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_111980.1|long_non-coding_RNA|ZBTB8A|Nosynon	86.092	6	2.372
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_120563.1|long_non-coding_RNA|LOC101928847|Nosynon	87.110	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038406.1|long_non-coding_RNA|STAU2-AS1|Nosynon	88.210	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_033449.1|long_non-coding_RNA|TCF7|Synom:T-cell_specific,_HMG-box	86.340	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_034089.1|long_non-coding_RNA|CCDC18-AS1|Nosynon	86.550	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_120386.1|long_non-coding_RNA|LINC01521|Nosynon	85.375	2	0.570
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_110090.1|long_non-coding_RNA|SIRPG-AS1|Nosynon	86.520	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_110974.1|non-coding_RNA|ZNF154|Nosynon	86.433	3	0.497
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_104404.1|non-coding_RNA|MPZL3|Nosynon	86.880	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_133914.1|long_non-coding_RNA|PCF11-AS1|Nosynon	86.280	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_037620.1|non-coding_RNA|ORC6|Nosynon	85.650	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_132350.1|non-coding_RNA|BLOC1S6|Nosynon	85.480	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_049761.1|long_non-coding_RNA|MAPKBP1|Nosynon	88.270	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_026912.2|non-coding_RNA|ABHD11|Nosynon	86.220	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_135607.1|non-coding_RNA|TSEN2|Nosynon	86.430	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_110251.1|long_non-coding_RNA|LINC01247|Nosynon	87.560	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_103530.1|long_non-coding_RNA|ANKLE1|Nosynon	85.780	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_135639.1|long_non-coding_RNA|LOC101929511|Nosynon	86.540	2	0.123
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_135293.1|long_non-coding_RNA|LOC101929634|Nosynon	87.085	2	1.134
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_077240.1|non-coding_RNA|LOC643711|Nosynon	86.340	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_033937.1|non-coding_RNA|LOC100132077|Nosynon	86.380	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_134284.1|non-coding_RNA|ZNF517|Nosynon	88.000	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_045639.1|long_non-coding_RNA|UQCRB|Nosynon	86.820	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_034022.1|non-coding_RNA|LOC100131257|Nosynon	86.825	2	1.381
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_136154.1|non-coding_RNA|PMS2|Nosynon	85.470	2	1.300
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_046429.1|long_non-coding_RNA|C4orf26|Nosynon	86.400	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_132419.1|non-coding_RNA|COX20|Nosynon	87.760	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_104091.1|long_non-coding_RNA|LINC00970|Nosynon	86.340	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_037864.1|long_non-coding_RNA|AP4B1-AS1|Nosynon	86.400	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038278.1|non-coding_RNA|LOC100506930|Nosynon	86.520	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_040071.1|long_non-coding_RNA|TNRC6C-AS1|Nosynon	86.760	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038436.1|non-coding_RNA|LOC145216|Nosynon	87.560	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038433.2|long_non-coding_RNA|LINC00330|Nosynon	86.340	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_037567.1|long_non-coding_RNA|MRPL49|Nosynon	87.960	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_033850.1|long_non-coding_RNA|WDR11-AS1|Nosynon	86.090	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_015378.3|non-coding_RNA|ZNF674-AS1|Nosynon	86.400	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_037158.1|long_non-coding_RNA|IL21R-AS1|Nosynon	85.840	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038904.1|non-coding_RNA|LOC100506305|Nosynon	86.920	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_134476.1|long_non-coding_RNA|LOC101929165|Nosynon	87.500	2	4.410
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	88.140	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_121676.1|long_non-coding_RNA|LINC01179|Nosynon	87.370	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_049896.1|long_non-coding_RNA|C18orf61|Nosynon	87.820	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038847.1|non-coding_RNA|LOC100505576|Nosynon	85.345	2	0.766
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_046567.1|long_non-coding_RNA|SHANK2-AS1|Nosynon	85.780	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_120678.1|long_non-coding_RNA|LOC102724719|Nosynon	86.220	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_049794.1|long_non-coding_RNA|GAS1RR|Nosynon	86.030	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_045385.1|long_non-coding_RNA|ASAP1-IT2|Nosynon	86.030	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_046216.1|long_non-coding_RNA|MGC27345|Nosynon	89.270	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_072989.1|non-coding_RNA|MMD2|Nosynon	85.780	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_125838.1|long_non-coding_RNA|LOC101926915|Nosynon	87.560	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_134562.1|non-coding_RNA|RPL7L1|Nosynon	85.780	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_046851.1|long_non-coding_RNA|ZNRF3-AS1|Nosynon	88.040	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_040016.1|long_non-coding_RNA|TMEM50B|Nosynon	86.100	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_119376.1|non-coding_RNA|FER1L4|Nosynon	85.170	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_117086.1|long_non-coding_RNA|ZNF714|Nosynon	86.300	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_073517.1|non-coding_RNA|PIK3R2|Nosynon	85.590	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_102755.1|long_non-coding_RNA|FLJ31104|Nosynon	86.340	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_135598.1|non-coding_RNA|MBOAT2|Nosynon	85.910	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_104292.1|non-coding_RNA|TBC1D22A|Nosynon	86.510	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_033984.1|non-coding_RNA|LOC400548|Nosynon	85.710	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_136738.1|non-coding_RNA|SHCBP1|Nosynon	85.330	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_002605.2|long_non-coding_RNA|DLEU1|Nosynon	86.030	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038118.1|long_non-coding_RNA|MMAB|Synom:cobalamin_deficiency	85.850	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_103560.1|long_non-coding_RNA|GSN-AS1|Nosynon	85.110	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_135568.1|non-coding_RNA|METTL8|Nosynon	86.400	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_073090.1|non-coding_RNA|MEAF6|Nosynon	86.140	2	3.386
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_104622.2|long_non-coding_RNA|LOC100506022|Nosynon	85.840	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_109965.1|long_non-coding_RNA|LOC101927257|Nosynon	85.840	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_133680.1|non-coding_RNA|CLPX|Nosynon	85.650	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_132379.1|long_non-coding_RNA|LINC01022|Nosynon	86.040	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_125852.1|long_non-coding_RNA|LOC101928231|Nosynon	84.870	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_104480.1|long_non-coding_RNA|KCTD20|Nosynon	85.970	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_109996.1|long_non-coding_RNA|PRKAR2A-AS1|Nosynon	84.825	2	1.600
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_048543.1|long_non-coding_RNA|LARS2-AS1|Nosynon	85.220	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_103777.1|long_non-coding_RNA|LOC100996251|Nosynon	85.760	2	0.828
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_040037.1|long_non-coding_RNA|PTOV1-AS1|Nosynon	86.400	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_134536.1|non-coding_RNA|QPRT|Nosynon	85.520	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_033861.1|non-coding_RNA|LOC283875|Nosynon	85.970	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_120684.1|long_non-coding_RNA|LOC103344931|Nosynon	87.310	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_126523.1|non-coding_RNA|C5orf64|Nosynon	85.170	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_110043.1|long_non-coding_RNA|LOC101928992|Nosynon	85.650	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_110905.1|non-coding_RNA|AP1S3|Nosynon	84.540	3	0.769
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_033678.1|non-coding_RNA|CARD8|Nosynon	86.400	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_122072.1|long_non-coding_RNA|LINC01567|Nosynon	85.840	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_135322.1|non-coding_RNA|PHF11|Nosynon	89.220	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038275.2|non-coding_RNA|FAM21EP|Nosynon	85.090	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_033893.1|non-coding_RNA|LOC286186|Nosynon	85.170	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038460.1|non-coding_RNA|LOC284865|Nosynon	86.670	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_110064.1|long_non-coding_RNA|LINC01441|Nosynon	85.840	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_103726.1|non-coding_RNA|SRSF8|Nosynon	87.980	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_134521.1|non-coding_RNA|VTI1A|Nosynon	87.180	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_073037.1|long_non-coding_RNA|STOM|Nosynon	83.830	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_034034.1|non-coding_RNA|LOC100288748|Nosynon	87.180	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_134281.1|long_non-coding_RNA|LOC101927357|Nosynon	85.460	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_133012.1|non-coding_RNA|CASP6|Nosynon	86.910	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_104164.1|long_non-coding_RNA|LINC01443|Nosynon	84.450	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_045634.1|non-coding_RNA|BOLA3-AS1|Nosynon	84.960	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_104300.1|non-coding_RNA|SERHL2|Nosynon	86.730	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_037921.1|long_non-coding_RNA|MAVS|Nosynon	84.580	3	1.300
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_036508.1|non-coding_RNA|LOC100128398|Nosynon	86.220	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_036515.1|non-coding_RNA|LOC284454|Nosynon	88.250	2	2.190
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_136684.1|non-coding_RNA|PIAS2|Nosynon	87.850	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_104343.1|long_non-coding_RNA|FLJ35934|Nosynon	85.710	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_135681.1|long_non-coding_RNA|LOC105370792|Nosynon	87.000	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_037644.1|long_non-coding_RNA|BORCS7-ASMT|Synom:NMD_candidate	85.000	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_073058.1|long_non-coding_RNA|C7orf55|Nosynon	85.330	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_033441.1|long_non-coding_RNA|HDAC2|Nosynon	86.110	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_102759.1|long_non-coding_RNA|TRIM52-AS1|Synom:head_to_head	87.290	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_003141.3|long_non-coding_RNA|SNHG4|Nosynon	88.170	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_134268.1|long_non-coding_RNA|LOC102724392|Nosynon	84.750	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_038322.1|non-coding_RNA|MAP3K13|Nosynon	86.530	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_104109.1|non-coding_RNA|ATP7A|Nosynon	85.530	1	0.000
NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	NR_027334.2|long_non-coding_RNA|MZF1-AS1|Nosynon	84.750	1	0.000
NR_132738.1|long_non-coding_RNA|LINC01759|Nosynon	NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	100.000	1	0.000
NR_104622.2|long_non-coding_RNA|LOC100506022|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	90.100	1	0.000
NR_109898.1|long_non-coding_RNA|DNAJC16|Synom:Hsp40	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	84.940	1	0.000
NR_033757.2|non-coding_RNA|C1orf151|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	90.260	1	0.000
NR_033926.1|non-coding_RNA|ACTG1P20|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	90.220	1	0.000
NR_002909.2|long_non-coding_RNA|SNHG3|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	85.850	1	0.000
NR_111980.1|long_non-coding_RNA|ZBTB8A|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	87.274	5	1.479
NR_135106.1|non-coding_RNA|S100PBP|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	86.700	1	0.000
NR_135106.1|non-coding_RNA|S100PBP|Nosynon	NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	85.070	1	0.000
NR_103535.1|long_non-coding_RNA|NEXN-AS1|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	84.950	1	0.000
NR_119375.1|long_non-coding_RNA|LINC01725|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	87.110	1	0.000
NR_034089.1|long_non-coding_RNA|CCDC18-AS1|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	86.610	1	0.000
NR_034089.1|long_non-coding_RNA|CCDC18-AS1|Nosynon	NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	86.550	1	0.000
NR_034072.1|long_non-coding_RNA|SARS|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	92.590	1	0.000
NR_036595.1|non-coding_RNA|LOC440600|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	86.310	1	0.000
NR_109845.1|non-coding_RNA|KCNA3|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	85.310	1	0.000
NR_103777.1|long_non-coding_RNA|LOC100996251|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	85.935	2	0.003
NR_037864.1|long_non-coding_RNA|AP4B1-AS1|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	89.670	1	0.000
NR_049741.1|long_non-coding_RNA|SIKE1|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	86.490	1	0.000
NR_049741.1|long_non-coding_RNA|SIKE1|Nosynon	NR_038262.1|long_non-coding_RNA|MIR210HG|Nosynon	89.330	1	0.000
NR_049741.1|long_non-coding_RNA|SIKE1|Nosynon	NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	84.550	1	0.000
NR_104133.1|long_non-coding_RNA|ADAMTSL4-AS1|Nosynon	NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	85.230	1	0.000
NR_135169.1|non-coding_RNA|SHE|Nosynon	NR_038262.1|long_non-coding_RNA|MIR210HG|Nosynon	86.120	1	0.000
NR_135169.1|non-coding_RNA|SHE|Nosynon	NR_132742.1|long_non-coding_RNA|MIR34AHG|Nosynon	85.490	1	0.000
NR_125374.1|long_non-coding_RNA|LOC100147773|Nosynon	NR_037867.1|long_non-coding_RNA|MIR3945HG|Nosynon	91.370	1	0.000
