"","X.tax_id","chromosome","chr_start","chr_stop","chr_orient","contig","ctg_start","ctg_stop","ctg_orient","feature_name","feature_id","feature_type","group_label","transcript","evidence_code"
"3142512",9606,"Y",9706824,9715262,"-","NC_000024.10",9706824,9715262,"-","TTTY7B","GeneID:100101120","GENE","GRCh38.p7-Primary Assembly","-",""
"3141820",9606,"Y",6242446,6243610,"-","NC_000024.10",6242446,6243610,"-","TTTY23B","GeneID:100101121","GENE","GRCh38.p7-Primary Assembly","-",""
"2707146",9606,"7",72969682,72973143,"+","NC_000007.14",72969682,72973143,"+","LOC100101148","GeneID:100101148","GENE","GRCh38.p7-Primary Assembly","-",""
"1468636",9606,"19",24162193,24163447,"-","NC_000019.10",24162193,24163447,"-","HAVCR1P1","GeneID:100101266","GENE","GRCh38.p7-Primary Assembly","-",""
"2707399",9606,"7",73006080,73016375,"+","NC_000007.14",73006080,73016375,"+","PMS2P7","GeneID:100101440","GENE","GRCh38.p7-Primary Assembly","-",""
"3104539",9606,"X",104060504,104062938,"-","NC_000023.11",104060504,104062938,"-","LOC100101478","GeneID:100101478","GENE","GRCh38.p7-Primary Assembly","-",""
"786431",9606,"13",19262800,19344973,"-","NC_000013.11",19262800,19344973,"-","ANKRD26P3","GeneID:100101938","GENE","GRCh38.p7-Primary Assembly","-",""
"2425699",9606,"5",140550067,140558093,"-","NC_000005.10",140550067,140558093,"-","SRA1","GeneID:10011","GENE","GRCh38.p7-Primary Assembly","-","best RefSeq;identical;N"
"2564392",9606,"6",104936294,104940527,"-","NC_000006.12",104936294,104940527,"-","LIN28B-AS1","GeneID:100113403","GENE","GRCh38.p7-Primary Assembly","-",""
"2921303",9606,"9",13927971,13945607,"+","NC_000009.12",13927971,13945607,"+","LINC00583","GeneID:100113404","GENE","GRCh38.p7-Primary Assembly","-",""
"1053926",9606,"15",101954885,101956355,"+","NC_000015.10",101954885,101956355,"+","FAM138E","GeneID:100124412","GENE","GRCh38.p7-Primary Assembly","-",""
"693266",9606,"12",53962308,53974956,"-","NC_000012.12",53962308,53974956,"-","HOTAIR","GeneID:100124700","GENE","GRCh38.p7-Primary Assembly","-",""
"2139033",9606,"3",125916601,125930024,"+","NC_000003.12",125916601,125930024,"+","FAM86JP","GeneID:100125556","GENE","GRCh38.p7-Primary Assembly","-",""
"3128711",9606,"X",147909431,147911817,"-","NC_000023.11",147909431,147911817,"-","FMR1-AS1","GeneID:100126270","GENE","GRCh38.p7-Primary Assembly","-",""
"2417662",9606,"5",136080491,136080598,"-","NC_000005.10",136080491,136080598,"-","VTRNA2-1","GeneID:100126299","GENE","GRCh38.p7-Primary Assembly","-",""
"1922729",9606,"21",43322209,43332039,"-","NC_000021.9",43322209,43332039,"-","LINC00322","GeneID:100126693","GENE","GRCh38.p7-Primary Assembly","-",""
"492415",9606,"11",19710934,19714672,"-","NC_000011.10",19710934,19714672,"-","LOC100126784","GeneID:100126784","GENE","GRCh38.p7-Primary Assembly","-",""
"2007707",9606,"3",4749192,4751590,"-","NC_000003.12",4749192,4751590,"-","EGOT","GeneID:100126791","GENE","GRCh38.p7-Primary Assembly","-",""
"2015106",9606,"3",10280952,10293449,"+","NC_000003.12",10280952,10293449,"+","GHRLOS","GeneID:100126793","GENE","GRCh38.p7-Primary Assembly","-",""
"1893316",9606,"20",62663027,62666621,"-","NC_000020.11",62663027,62666621,"-","SLCO4A1-AS1","GeneID:100127888","GENE","GRCh38.p7-Primary Assembly","-",""
"2687464",9606,"7",43117896,43163187,"+","NC_000007.14",43117896,43163187,"+","HECW1-IT1","GeneID:100127950","GENE","GRCh38.p7-Primary Assembly","-",""
"689299",9606,"12",52609851,52615305,"+","NC_000012.12",52609851,52615305,"+","KRT73-AS1","GeneID:100127967","GENE","GRCh38.p7-Primary Assembly","-",""
"1214925",9606,"17",12760134,12790284,"-","NC_000017.11",12760134,12790284,"-","LOC100128006","GeneID:100128006","GENE","GRCh38.p7-Primary Assembly","-",""
"2196066",9606,"3",193993093,193994238,"-","NC_000003.12",193993093,193994238,"-","DPPA2P3","GeneID:100128023","GENE","GRCh38.p7-Primary Assembly","-",""
"2164428",9606,"3",149658210,149661364,"+","NC_000003.12",149658210,149661364,"+","WWTR1-AS1","GeneID:100128025","GENE","GRCh38.p7-Primary Assembly","-",""
"404216",9606,"10",94279290,94287070,"-","NC_000010.11",94279290,94287070,"-","PLCE1-AS1","GeneID:100128054","GENE","GRCh38.p7-Primary Assembly","-",""
"2303705",9606,"4",143513472,143514837,"-","NC_000004.12",143513472,143514837,"-","SMARCA5-AS1","GeneID:100128055","GENE","GRCh38.p7-Primary Assembly","-",""
"2969179",9606,"9",92132834,92138629,"+","NC_000009.12",92132834,92138629,"+","LOC100128076","GeneID:100128076","GENE","GRCh38.p7-Primary Assembly","-",""
"2677504",9606,"7",28180457,28241377,"+","NC_000007.14",28180457,28241377,"+","JAZF1-AS1","GeneID:100128081","GENE","GRCh38.p7-Primary Assembly","-",""
"326060",9606,"10",17386936,17408286,"+","NC_000010.11",17386936,17408286,"+","ST8SIA6-AS1","GeneID:100128098","GENE","GRCh38.p7-Primary Assembly","-",""
"2853459",9606,"8",73420074,73441518,"+","NC_000008.11",73420074,73441518,"+","STAU2-AS1","GeneID:100128126","GENE","GRCh38.p7-Primary Assembly","-",""
"456980",9606,"10",133085244,133086697,"-","NC_000010.11",133085244,133086697,"-","ADGRA1-AS1","GeneID:100128127","GENE","GRCh38.p7-Primary Assembly","-",""
"1467663",9606,"19",22532626,22533494,"+","NC_000019.10",22532626,22533494,"+","LINC01233","GeneID:100128139","GENE","GRCh38.p7-Primary Assembly","-",""
"2176342",9606,"3",169943984,169966734,"-","NC_000003.12",169943984,169966734,"-","LOC100128164","GeneID:100128164","GENE","GRCh38.p7-Primary Assembly","-",""
"2598088",9606,"6",148954259,148964684,"-","NC_000006.12",148954259,148964684,"-","UST-AS1","GeneID:100128176","GENE","GRCh38.p7-Primary Assembly","-",""
"736955",9606,"12",98512973,98516226,"-","NC_000012.12",98512973,98516226,"-","TMPO-AS1","GeneID:100128191","GENE","GRCh38.p7-Primary Assembly","-",""
"896127",9606,"14",65212893,65222347,"-","NC_000014.9",65212893,65222347,"-","LOC100128233","GeneID:100128233","GENE","GRCh38.p7-Primary Assembly","-",""
"619365",9606,"11",134032272,134041341,"+","NC_000011.10",134032272,134041341,"+","LOC100128239","GeneID:100128239","GENE","GRCh38.p7-Primary Assembly","-",""
"1542890",9606,"19",56477874,56495437,"+","NC_000019.10",56477874,56495437,"+","ZNF667-AS1","GeneID:100128252","GENE","GRCh38.p7-Primary Assembly","-",""
"2790467",9606,"7",155067067,155071557,"-","NC_000007.14",155067067,155071557,"-","HTR5A-AS1","GeneID:100128264","GENE","GRCh38.p7-Primary Assembly","-",""
"1025816",9606,"15",75727670,75740077,"-","NC_000015.10",75727670,75740077,"-","DNM1P35","GeneID:100128285","GENE","GRCh38.p7-Primary Assembly","-",""
"1210032",9606,"17",8358413,8360541,"-","NC_000017.11",8358413,8360541,"-","LOC100128288","GeneID:100128288","GENE","GRCh38.p7-Primary Assembly","-",""
"391255",9606,"10",77926812,77929825,"+","NC_000010.11",77926812,77929825,"+","DLG5-AS1","GeneID:100128292","GENE","GRCh38.p7-Primary Assembly","-",""
"2717041",9606,"7",81576386,81691406,"-","NC_000007.14",81576386,81691406,"-","LOC100128317","GeneID:100128317","GENE","GRCh38.p7-Primary Assembly","-",""
"2899375",9606,"8",143734140,143746337,"+","NC_000008.11",143734140,143746337,"+","FAM83H-AS1","GeneID:100128338","GENE","GRCh38.p7-Primary Assembly","-",""
"2969979",9606,"9",92618050,92620533,"+","NC_000009.12",92618050,92620533,"+","LOC100128361","GeneID:100128361","GENE","GRCh38.p7-Primary Assembly","-",""
"2077153",9606,"3",52062094,52065112,"-","NC_000003.12",52062094,52065112,"-","LINC00696","GeneID:100128378","GENE","GRCh38.p7-Primary Assembly","-",""
"2989405",9606,"9",113104723,113111677,"-","NC_000009.12",113104723,113111677,"-","FAM225B","GeneID:100128385","GENE","GRCh38.p7-Primary Assembly","-",""
"582768",9606,"11",100684161,100687955,"-","NC_000011.10",100684161,100687955,"-","LOC100128386","GeneID:100128386","GENE","GRCh38.p7-Primary Assembly","-",""
"1545298",9606,"19",58002894,58007206,"+","NC_000019.10",58002894,58007206,"+","LOC100128398","GeneID:100128398","GENE","GRCh38.p7-Primary Assembly","-",""
"3125679",9606,"X",136639543,136642429,"+","NC_000023.11",136639543,136642429,"+","LINC00892","GeneID:100128420","GENE","GRCh38.p7-Primary Assembly","-",""
"558120",9606,"11",72014291,72020910,"+","NC_000011.10",72014291,72020910,"+","LOC100128494","GeneID:100128494","GENE","GRCh38.p7-Primary Assembly","-",""
"2995020",9606,"9",116504283,116562293,"+","NC_000009.12",116504283,116562293,"+","ASTN2-AS1","GeneID:100128505","GENE","GRCh38.p7-Primary Assembly","-",""
"328705",9606,"10",21173990,21174923,"+","NC_000010.11",21173990,21174923,"+","NEBL-AS1","GeneID:100128511","GENE","GRCh38.p7-Primary Assembly","-",""
"1952376",9606,"22",25102417,25112692,"-","NC_000022.11",25102417,25112692,"-","LOC100128531","GeneID:100128531","GENE","GRCh38.p7-Primary Assembly","-",""
"264192",9606,"1",207801518,207822703,"-","NC_000001.11",207801518,207822703,"-","C1orf132","GeneID:100128537","GENE","GRCh38.p7-Primary Assembly","-",""
"778276",9606,"12",126442481,126472785,"+","NC_000012.12",126442481,126472785,"+","LOC100128554","GeneID:100128554","GENE","GRCh38.p7-Primary Assembly","-",""
"1213025",9606,"17",10383132,10625540,"+","NC_000017.11",10383132,10625540,"+","MYHAS","GeneID:100128560","GENE","GRCh38.p7-Primary Assembly","-",""
"1424338",9606,"19",5978403,6020363,"+","NC_000019.10",5978403,6020363,"+","LOC100128568","GeneID:100128568","GENE","GRCh38.p7-Primary Assembly","-",""
"1427867",9606,"19",7472837,7473361,"-","NC_000019.10",7472837,7473361,"-","LOC100128573","GeneID:100128573","GENE","GRCh38.p7-Primary Assembly","-",""
"1607050",9606,"2",39917634,40255209,"+","NC_000002.12",39917634,40255209,"+","SLC8A1-AS1","GeneID:100128590","GENE","GRCh38.p7-Primary Assembly","-",""
"3033631",9606,"9",136746161,136749911,"+","NC_000009.12",136746161,136749911,"+","LOC100128593","GeneID:100128593","GENE","GRCh38.p7-Primary Assembly","-",""
"2897511",9606,"8",142995828,142997663,"+","NC_000008.11",142995828,142997663,"+","CDC42P3","GeneID:100128627","GENE","GRCh38.p7-Primary Assembly","-",""
"2043464",9606,"3",38451027,38454820,"-","NC_000003.12",38451027,38454820,"-","ACVR2B-AS1","GeneID:100128640","GENE","GRCh38.p7-Primary Assembly","-",""
"1474409",9606,"19",35059059,35106304,"-","NC_000019.10",35059059,35106304,"-","HPN-AS1","GeneID:100128675","GENE","GRCh38.p7-Primary Assembly","-",""
"1475412",9606,"19",35405607,35416840,"+","NC_000019.10",35405607,35416840,"+","LINC01531","GeneID:100128682","GENE","GRCh38.p7-Primary Assembly","-",""
"3131017",9606,"X",151175198,151177836,"-","NC_000023.11",151175198,151177836,"-","GPR50-AS1","GeneID:100128688","GENE","GRCh38.p7-Primary Assembly","-",""
"951669",9606,"15",25902360,26053120,"+","NC_000015.10",25902360,26053120,"+","LOC100128714","GeneID:100128714","GENE","GRCh38.p7-Primary Assembly","-",""
"2822601",9606,"8",30382119,30385401,"-","NC_000008.11",30382119,30385401,"-","RBPMS-AS1","GeneID:100128750","GENE","GRCh38.p7-Primary Assembly","-",""
"1074251",9606,"16",3032481,3039133,"+","NC_000016.10",3032481,3039133,"+","LOC100128770","GeneID:100128770","GENE","GRCh38.p7-Primary Assembly","-",""
"2974263",9606,"9",95806088,95875977,"-","NC_000009.12",95806088,95875977,"-","LINC00476","GeneID:100128782","GENE","GRCh38.p7-Primary Assembly","-",""
"148497",9606,"1",100627049,100647004,"-","NC_000001.11",100627049,100647004,"-","LINC01349","GeneID:100128787","GENE","GRCh38.p7-Primary Assembly","-",""
"1072837",9606,"16",2737076,2752600,"-","NC_000016.10",2737076,2752600,"-","SRRM2-AS1","GeneID:100128788","GENE","GRCh38.p7-Primary Assembly","-",""
"331788",9606,"10",25158072,25176276,"-","NC_000010.11",25158072,25176276,"-","GPR158-AS1","GeneID:100128811","GENE","GRCh38.p7-Primary Assembly","-",""
"2789352",9606,"7",152464124,152465545,"+","NC_000007.14",152464124,152465545,"+","LINC01003","GeneID:100128822","GENE","GRCh38.p7-Primary Assembly","-",""
"1177200",9606,"16",89711856,89718165,"+","NC_000016.10",89711856,89718165,"+","VPS9D1-AS1","GeneID:100128881","GENE","GRCh38.p7-Primary Assembly","-",""
"2703295",9606,"7",64574695,64618589,"+","NC_000007.14",64574695,64618589,"+","LOC100128885","GeneID:100128885","GENE","GRCh38.p7-Primary Assembly","-",""
"2799202",9606,"8",7301611,7355354,"-","NC_000008.11",7301611,7355354,"-","FAM66B","GeneID:100128890","GENE","GRCh38.p7-Primary Assembly","-",""
"1368086",9606,"18",22166898,22168968,"-","NC_000018.10",22166898,22168968,"-","GATA6-AS1","GeneID:100128893","GENE","GRCh38.p7-Primary Assembly","-",""
"1738780",9606,"2",174025280,174027158,"+","NC_000002.12",174025280,174027158,"+","LOC100128905","GeneID:100128905","GENE","GRCh38.p7-Primary Assembly","-",""
"1993332",9606,"22",48866770,48898386,"+","NC_000022.11",48866770,48898386,"+","LINC01310","GeneID:100128946","GENE","GRCh38.p7-Primary Assembly","-",""
"1275807",9606,"17",45843356,45895513,"-","NC_000017.11",45843356,45895513,"-","MAPT-AS1","GeneID:100128977","GENE","GRCh38.p7-Primary Assembly","-",""
"2809272",9606,"8",19183674,19245522,"-","NC_000008.11",19183674,19245522,"-","LOC100128993","GeneID:100128993","GENE","GRCh38.p7-Primary Assembly","-",""
"1929245",9606,"21",45827841,45836419,"-","NC_000021.9",45827841,45836419,"-","LOC100129027","GeneID:100129027","GENE","GRCh38.p7-Primary Assembly","-",""
"1720942",9606,"2",158658337,158735002,"-","NC_000002.12",158658337,158735002,"-","PKP4-AS1","GeneID:100129029","GENE","GRCh38.p7-Primary Assembly","-",""
"3002811",9606,"9",124353473,124359186,"+","NC_000009.12",124353473,124359186,"+","LOC100129034","GeneID:100129034","GENE","GRCh38.p7-Primary Assembly","-",""
"143449",9606,"1",93591968,93600030,"+","NC_000001.11",93591968,93600030,"+","LOC100129046","GeneID:100129046","GENE","GRCh38.p7-Primary Assembly","-",""
"347944",9606,"10",38175671,38214345,"+","NC_000010.11",38175671,38214345,"+","LOC100129055","GeneID:100129055","GENE","GRCh38.p7-Primary Assembly","-",""
"2071426",9606,"3",50116022,50156085,"-","NC_000003.12",50116022,50156085,"-","SEMA3F-AS1","GeneID:100129060","GENE","GRCh38.p7-Primary Assembly","-",""
"2967703",9606,"9",89639783,89719759,"+","NC_000009.12",89639783,89719759,"+","UNQ6494","GeneID:100129066","GENE","GRCh38.p7-Primary Assembly","-",""
"884216",9606,"14",55576157,55580092,"-","NC_000014.9",55576157,55580092,"-","KTN1-AS1","GeneID:100129075","GENE","GRCh38.p7-Primary Assembly","-",""
"150925",9606,"1",104073023,104077086,"+","NC_000001.11",104073023,104077086,"+","LOC100129138","GeneID:100129138","GENE","GRCh38.p7-Primary Assembly","-",""
"2771900",9606,"7",139417462,139427526,"-","NC_000007.14",139417462,139427526,"-","LOC100129148","GeneID:100129148","GENE","GRCh38.p7-Primary Assembly","-",""
"1787077",9606,"2",219002215,219015722,"+","NC_000002.12",219002215,219015722,"+","LOC100129175","GeneID:100129175","GENE","GRCh38.p7-Primary Assembly","-",""
"2486388",9606,"6",28121795,28137316,"-","NC_000006.12",28121795,28137316,"-","ZSCAN16-AS1","GeneID:100129195","GENE","GRCh38.p7-Primary Assembly","-",""
"61449",9606,"1",30718772,30726746,"+","NC_000001.11",30718772,30726746,"+","MATN1-AS1","GeneID:100129196","GENE","GRCh38.p7-Primary Assembly","-",""
"581160",9606,"11",95230186,95234404,"+","NC_000011.10",95230186,95234404,"+","LOC100129203","GeneID:100129203","GENE","GRCh38.p7-Primary Assembly","-",""
"326672",9606,"10",18001786,18010562,"-","NC_000010.11",18001786,18010562,"-","SLC39A12-AS1","GeneID:100129213","GENE","GRCh38.p7-Primary Assembly","-",""
"631055",9606,"12",3483712,3492819,"-","NC_000012.12",3483712,3492819,"-","THCAT155","GeneID:100129223","GENE","GRCh38.p7-Primary Assembly","-",""
"2930466",9606,"9",32551144,32566860,"+","NC_000009.12",32551144,32566860,"+","TOPORS-AS1","GeneID:100129250","GENE","GRCh38.p7-Primary Assembly","-",""
"158251",9606,"1",111599007,111608318,"-","NC_000001.11",111599007,111608318,"-","LINC01160","GeneID:100129269","GENE","GRCh38.p7-Primary Assembly","-",""
"3092129",9606,"X",71662991,71666868,"-","NC_000023.11",71662991,71666868,"-","LOC100129291","GeneID:100129291","GENE","GRCh38.p7-Primary Assembly","-",""
"2968413",9606,"9",91063294,91075132,"-","NC_000009.12",91063294,91075132,"-","LOC100129316","GeneID:100129316","GENE","GRCh38.p7-Primary Assembly","-",""
"930956",9606,"14",97632647,97686658,"-","NC_000014.9",97632647,97686658,"-","LOC100129345","GeneID:100129345","GENE","GRCh38.p7-Primary Assembly","-",""
"2968437",9606,"9",91119062,91182762,"+","NC_000009.12",91119062,91182762,"+","LINC00484","GeneID:100129347","GENE","GRCh38.p7-Primary Assembly","-",""
"2056589",9606,"3",47011542,47013467,"+","NC_000003.12",47011542,47013467,"+","NRADDP","GeneID:100129354","GENE","GRCh38.p7-Primary Assembly","-",""
"2924232",9606,"9",16203935,16276313,"-","NC_000009.12",16203935,16276313,"-","C9orf92","GeneID:100129385","GENE","GRCh38.p7-Primary Assembly","-","best RefSeq;identical;N"
"987327",9606,"15",50354174,50358312,"+","NC_000015.10",50354174,50358312,"+","GABPB1-AS1","GeneID:100129387","GENE","GRCh38.p7-Primary Assembly","-",""
"1220244",9606,"17",16788743,16790501,"+","NC_000017.11",16788743,16790501,"+","FAM106CP","GeneID:100129396","GENE","GRCh38.p7-Primary Assembly","-",""
"200184",9606,"1",155745768,155750688,"+","NC_000001.11",155745768,155750688,"+","MSTO2P","GeneID:100129405","GENE","GRCh38.p7-Primary Assembly","-",""
"3093239",9606,"X",72938163,72938958,"+","NC_000023.11",72938163,72938958,"+","FAM236A","GeneID:100129407","GENE","GRCh38.p7-Primary Assembly","-",""
"2743844",9606,"7",103141270,103142403,"-","NC_000007.14",103141270,103142403,"-","RPL19P12","GeneID:100129424","GENE","GRCh38.p7-Primary Assembly","-",""
"2697541",9606,"7",50531759,50543463,"+","NC_000007.14",50531759,50543463,"+","DDC-AS1","GeneID:100129427","GENE","GRCh38.p7-Primary Assembly","-",""
"1621458",9606,"2",56173534,56185770,"-","NC_000002.12",56173534,56185770,"-","LOC100129434","GeneID:100129434","GENE","GRCh38.p7-Primary Assembly","-",""
"2681546",9606,"7",32580939,32719168,"-","NC_000007.14",32580939,32719168,"-","DPY19L1P1","GeneID:100129460","GENE","GRCh38.p7-Primary Assembly","-",""
"2469703",9606,"6",5003816,5240496,"+","NC_000006.12",5003816,5240496,"+","LYRM4-AS1","GeneID:100129461","GENE","GRCh38.p7-Primary Assembly","-",""
"3046652",9606,"X",3271820,3284653,"+","NC_000023.11",3271820,3284653,"+","LINC01546","GeneID:100129464","GENE","GRCh38.p7-Primary Assembly","-",""
"348728",9606,"10",42513510,42552870,"-","NC_000010.11",42513510,42552870,"-","ZNF37BP","GeneID:100129482","GENE","GRCh38.p7-Primary Assembly","-",""
"3123700",9606,"X",135118955,135120477,"-","NC_000023.11",135118955,135120477,"-","LINC00633","GeneID:100129515","GENE","GRCh38.p7-Primary Assembly","-",""
"2611976",9606,"6",159760258,159762332,"-","NC_000006.12",159760258,159762332,"-","LOC100129518","GeneID:100129518","GENE","GRCh38.p7-Primary Assembly","-",""
"9413",9606,"1",2350414,2352661,"-","NC_000001.11",2350414,2352661,"-","LOC100129534","GeneID:100129534","GENE","GRCh38.p7-Primary Assembly","-",""
"2134133",9606,"3",122886513,122892416,"+","NC_000003.12",122886513,122892416,"+","LOC100129550","GeneID:100129550","GENE","GRCh38.p7-Primary Assembly","-",""
"813377",9606,"13",48576974,48580901,"-","NC_000013.11",48576974,48580901,"-","LINC00462","GeneID:100129597","GENE","GRCh38.p7-Primary Assembly","-",""
"2659351",9606,"7",3140917,3158573,"-","NC_000007.14",3140917,3158573,"-","LOC100129603","GeneID:100129603","GENE","GRCh38.p7-Primary Assembly","-",""
"1167565",9606,"16",81665354,81667276,"+","NC_000016.10",81665354,81667276,"+","LOC100129617","GeneID:100129617","GENE","GRCh38.p7-Primary Assembly","-",""
"146705",9606,"1",99004276,99148852,"+","NC_000001.11",99004276,99148852,"+","LOC100129620","GeneID:100129620","GENE","GRCh38.p7-Primary Assembly","-",""
"2488205",9606,"6",29036021,29076740,"+","NC_000006.12",29036021,29076740,"+","LOC100129636","GeneID:100129636","GENE","GRCh38.p7-Primary Assembly","-",""
"3126385",9606,"X",138712107,138716605,"+","NC_000023.11",138712107,138716605,"+","FGF13-AS1","GeneID:100129662","GENE","GRCh38.p7-Primary Assembly","-",""
"2388645",9606,"5",91380347,91420715,"+","NC_000005.10",91380347,91420715,"+","ARRDC3-AS1","GeneID:100129716","GENE","GRCh38.p7-Primary Assembly","-",""
"3035988",9606,"9",137250219,137253497,"-","NC_000009.12",137250219,137253497,"-","STPG3-AS1","GeneID:100129722","GENE","GRCh38.p7-Primary Assembly","-",""
"1609106",9606,"2",43227211,43228855,"+","NC_000002.12",43227211,43228855,"+","LINC01126","GeneID:100129726","GENE","GRCh38.p7-Primary Assembly","-",""
"1091004",9606,"16",14302288,14326517,"+","NC_000016.10",14302288,14326517,"+","MIR193BHG","GeneID:100129781","GENE","GRCh38.p7-Primary Assembly","-",""
"872912",9606,"14",37172026,37173794,"+","NC_000014.9",37172026,37173794,"+","SLC25A21-AS1","GeneID:100129794","GENE","GRCh38.p7-Primary Assembly","-",""
"482438",9606,"11",10541236,10599932,"+","NC_000011.10",10541236,10599932,"+","MRVI1-AS1","GeneID:100129827","GENE","GRCh38.p7-Primary Assembly","-",""
"2738113",9606,"7",100589401,100604038,"-","NC_000007.14",100589401,100604038,"-","PCOLCE-AS1","GeneID:100129845","GENE","GRCh38.p7-Primary Assembly","-",""
"2302058",9606,"4",140283726,140373392,"-","NC_000004.12",140283726,140373392,"-","SCOC-AS1","GeneID:100129858","GENE","GRCh38.p7-Primary Assembly","-",""
"2206585",9606,"4",780149,781848,"-","NC_000004.12",780149,781848,"-","LOC100129917","GeneID:100129917","GENE","GRCh38.p7-Primary Assembly","-",""
"2217708",9606,"4",7030554,7046231,"-","NC_000004.12",7030554,7046231,"-","LOC100129931","GeneID:100129931","GENE","GRCh38.p7-Primary Assembly","-",""
"1490081",9606,"19",39638685,39642401,"+","NC_000019.10",39638685,39642401,"+","LOC100129935","GeneID:100129935","GENE","GRCh38.p7-Primary Assembly","-",""
"712667",9606,"12",65851227,65882167,"-","NC_000012.12",65851227,65882167,"-","LOC100129940","GeneID:100129940","GENE","GRCh38.p7-Primary Assembly","-","best RefSeq;identical;N"
"1700468",9606,"2",134866633,134918606,"-","NC_000002.12",134866633,134918606,"-","CCNT2-AS1","GeneID:100129961","GENE","GRCh38.p7-Primary Assembly","-",""
"990495",9606,"15",52180026,52205879,"+","NC_000015.10",52180026,52205879,"+","LOC100129973","GeneID:100129973","GENE","GRCh38.p7-Primary Assembly","-",""
"1592761",9606,"2",27705786,27715732,"-","NC_000002.12",27705786,27715732,"-","LINC01460","GeneID:100129995","GENE","GRCh38.p7-Primary Assembly","-",""
"3073316",9606,"X",48801377,48824982,"+","NC_000023.11",48801377,48824982,"+","HDAC6","GeneID:10013","GENE","GRCh38.p7-Primary Assembly","-","best RefSeq;identical;N"
"1179494",9606,"16",90039761,90047783,"-","NC_000016.10",90039761,90047783,"-","URAHP","GeneID:100130015","GENE","GRCh38.p7-Primary Assembly","-",""
"2251261",9606,"4",68182292,68212470,"+","NC_000004.12",68182292,68212470,"+","FTLP10","GeneID:100130017","GENE","GRCh38.p7-Primary Assembly","-",""
"714361",9606,"12",68804437,68805494,"-","NC_000012.12",68804437,68805494,"-","LOC100130075","GeneID:100130075","GENE","GRCh38.p7-Primary Assembly","-",""
"955098",9606,"15",29674935,29679163,"+","NC_000015.10",29674935,29679163,"+","LOC100130111","GeneID:100130111","GENE","GRCh38.p7-Primary Assembly","-",""
"1275865",9606,"17",45895783,45898798,"+","NC_000017.11",45895783,45898798,"+","MAPT-IT1","GeneID:100130148","GENE","GRCh38.p7-Primary Assembly","-",""
"2846910",9606,"8",64373218,64387504,"+","NC_000008.11",64373218,64387504,"+","MIR124-2HG","GeneID:100130155","GENE","GRCh38.p7-Primary Assembly","-",""
